teamA,teamB,teamAAttack,teamAMidfield,teamADefense,teamAFormScore,teamAStrength,teamBAttack,teamBMidfield,teamBDefense,teamBFormScore,teamBStrength,result
"Mexico","Germany","78","77","74","10","78","84","85","80","8","82","teamBWin"
"Germany","Mexico","84","85","80","8","82","78","77","74","10","78","teamAWin"
"Mexico","Curacao","78","77","74","10","78","70","70","69","8","70","teamAWin"
"Curacao","Mexico","70","70","69","8","70","78","77","74","10","78","teamBWin"
"Mexico","Ivory Coast","78","77","74","10","78","80","78","77","10","80","teamBWin"
"Ivory Coast","Mexico","80","78","77","10","80","78","77","74","10","78","teamAWin"
"Mexico","Ecuador","78","77","74","10","78","78","79","80","8","78","draw"
"Ecuador","Mexico","78","79","80","8","78","78","77","74","10","78","draw"
"Mexico","Netherlands","78","77","74","10","78","82","83","86","10","84","teamBWin"
"Netherlands","Mexico","82","83","86","10","84","78","77","74","10","78","teamAWin"
"Mexico","Japan","78","77","74","10","78","80","82","78","10","81","draw"
"Japan","Mexico","80","82","78","10","81","78","77","74","10","78","draw"
"Mexico","Tunisia","78","77","74","10","78","72","74","78","8","74","teamAWin"
"Tunisia","Mexico","72","74","78","8","74","78","77","74","10","78","teamBWin"
"Mexico","Sweden","78","77","74","10","78","79","80","79","10","80","teamBWin"
"Sweden","Mexico","79","80","79","10","80","78","77","74","10","78","draw"
"Mexico","Belgium","78","77","74","10","78","82","84","78","10","82","teamBWin"
"Belgium","Mexico","82","84","78","10","82","78","77","74","10","78","teamAWin"
"Mexico","Egypt","78","77","74","10","78","79","76","75","10","78","draw"
"Egypt","Mexico","79","76","75","10","78","78","77","74","10","78","draw"
"Mexico","Iran","78","77","74","10","78","75","76","77","8","75","teamAWin"
"Iran","Mexico","75","76","77","8","75","78","77","74","10","78","teamBWin"
"Mexico","New Zealand","78","77","74","10","78","70","69","71","7","69","teamAWin"
"New Zealand","Mexico","70","69","71","7","69","78","77","74","10","78","teamBWin"
"Mexico","Spain","78","77","74","10","78","86","90","84","13","90","teamBWin"
"Spain","Mexico","86","90","84","13","90","78","77","74","10","78","teamAWin"
"Mexico","Cape Verde","78","77","74","10","78","72","73","72","8","72","teamAWin"
"Cape Verde","Mexico","72","73","72","8","72","78","77","74","10","78","teamBWin"
"Mexico","Saudi Arabia","78","77","74","10","78","74","75","73","8","74","teamAWin"
"Saudi Arabia","Mexico","74","75","73","8","74","78","77","74","10","78","teamBWin"
"Mexico","Uruguay","78","77","74","10","78","83","82","82","10","83","teamBWin"
"Uruguay","Mexico","83","82","82","10","83","78","77","74","10","78","teamAWin"
"Mexico","France","78","77","74","10","78","90","84","83","10","87","teamBWin"
"France","Mexico","90","84","83","10","87","78","77","74","10","78","teamAWin"
"Mexico","Senegal","78","77","74","10","78","81","79","81","10","81","teamBWin"
"Senegal","Mexico","81","79","81","10","81","78","77","74","10","78","teamAWin"
"Mexico","Norway","78","77","74","10","78","84","80","76","10","82","teamBWin"
"Norway","Mexico","84","80","76","10","82","78","77","74","10","78","teamAWin"
"Mexico","Iraq","78","77","74","10","78","72","73","72","10","74","teamAWin"
"Iraq","Mexico","72","73","72","10","74","78","77","74","10","78","draw"
"Mexico","Argentina","78","77","74","10","78","88","86","82","13","89","teamBWin"
"Argentina","Mexico","88","86","82","13","89","78","77","74","10","78","teamAWin"
"Mexico","Algeria","78","77","74","10","78","78","79","76","10","79","teamBWin"
"Algeria","Mexico","78","79","76","10","79","78","77","74","10","78","draw"
"Mexico","Austria","78","77","74","10","78","79","82","79","10","81","teamBWin"
"Austria","Mexico","79","82","79","10","81","78","77","74","10","78","teamAWin"
"Mexico","Jordan","78","77","74","10","78","71","72","70","8","71","teamAWin"
"Jordan","Mexico","71","72","70","8","71","78","77","74","10","78","teamBWin"
"Mexico","Portugal","78","77","74","10","78","87","84","80","10","85","teamBWin"
"Portugal","Mexico","87","84","80","10","85","78","77","74","10","78","teamAWin"
"Mexico","Uzbekistan","78","77","74","10","78","73","75","74","10","76","teamAWin"
"Uzbekistan","Mexico","73","75","74","10","76","78","77","74","10","78","draw"
"Mexico","Colombia","78","77","74","10","78","82","81","78","10","82","teamBWin"
"Colombia","Mexico","82","81","78","10","82","78","77","74","10","78","teamAWin"
"Mexico","DR Congo","78","77","74","10","78","74","74","75","8","74","draw"
"DR Congo","Mexico","74","74","75","8","74","78","77","74","10","78","draw"
"Mexico","England","78","77","74","10","78","86","86","84","13","89","teamBWin"
"England","Mexico","86","86","84","13","89","78","77","74","10","78","teamAWin"
"Mexico","Croatia","78","77","74","10","78","77","84","79","8","79","draw"
"Croatia","Mexico","77","84","79","8","79","78","77","74","10","78","draw"
"Mexico","Ghana","78","77","74","10","78","76","75","73","7","74","teamAWin"
"Ghana","Mexico","76","75","73","7","74","78","77","74","10","78","teamBWin"
"Mexico","Panama","78","77","74","10","78","72","73","72","10","74","draw"
"Panama","Mexico","72","73","72","10","74","78","77","74","10","78","teamBWin"
"South Africa","South Korea","72","73","71","8","72","79","78","76","10","79","teamBWin"
"South Korea","South Africa","79","78","76","10","79","72","73","71","8","72","teamAWin"
"South Africa","Czechia","72","73","71","8","72","76","78","79","8","77","draw"
"Czechia","South Africa","76","78","79","8","77","72","73","71","8","72","teamAWin"
"South Africa","Canada","72","73","71","8","72","77","73","71","10","76","teamBWin"
"Canada","South Africa","77","73","71","10","76","72","73","71","8","72","teamAWin"
"South Africa","Switzerland","72","73","71","8","72","77","80","82","8","79","teamBWin"
"Switzerland","South Africa","77","80","82","8","79","72","73","71","8","72","teamAWin"
"South Africa","Qatar","72","73","71","8","72","72","73","70","7","71","draw"
"Qatar","South Africa","72","73","70","7","71","72","73","71","8","72","draw"
"South Africa","Bosnia and Herzegovina","72","73","71","8","72","75","77","74","8","75","draw"
"Bosnia and Herzegovina","South Africa","75","77","74","8","75","72","73","71","8","72","teamAWin"
"South Africa","Brazil","72","73","71","8","72","89","85","81","10","86","teamBWin"
"Brazil","South Africa","89","85","81","10","86","72","73","71","8","72","teamAWin"
"South Africa","Morocco","72","73","71","8","72","78","79","84","10","81","teamBWin"
"Morocco","South Africa","78","79","84","10","81","72","73","71","8","72","teamAWin"
"South Africa","Haiti","72","73","71","8","72","70","69","68","7","69","draw"
"Haiti","South Africa","70","69","68","7","69","72","73","71","8","72","draw"
"South Africa","Scotland","72","73","71","8","72","75","78","77","8","76","teamBWin"
"Scotland","South Africa","75","78","77","8","76","72","73","71","8","72","teamAWin"
"South Africa","USA","72","73","71","8","72","76","74","72","10","76","draw"
"USA","South Africa","76","74","72","10","76","72","73","71","8","72","teamAWin"
"South Africa","Paraguay","72","73","71","8","72","74","75","77","8","75","teamBWin"
"Paraguay","South Africa","74","75","77","8","75","72","73","71","8","72","teamAWin"
"South Africa","Australia","72","73","71","8","72","76","75","76","10","77","teamBWin"
"Australia","South Africa","76","75","76","10","77","72","73","71","8","72","draw"
"South Africa","Türkiye","72","73","71","8","72","80","79","75","10","80","teamBWin"
"Türkiye","South Africa","80","79","75","10","80","72","73","71","8","72","teamAWin"
"South Africa","Germany","72","73","71","8","72","84","85","80","8","82","teamBWin"
"Germany","South Africa","84","85","80","8","82","72","73","71","8","72","teamAWin"
"South Africa","Curacao","72","73","71","8","72","70","70","69","8","70","teamAWin"
"Curacao","South Africa","70","70","69","8","70","72","73","71","8","72","teamBWin"
"South Africa","Ivory Coast","72","73","71","8","72","80","78","77","10","80","teamBWin"
"Ivory Coast","South Africa","80","78","77","10","80","72","73","71","8","72","teamAWin"
"South Africa","Ecuador","72","73","71","8","72","78","79","80","8","78","teamBWin"
"Ecuador","South Africa","78","79","80","8","78","72","73","71","8","72","teamAWin"
"South Africa","Netherlands","72","73","71","8","72","82","83","86","10","84","teamBWin"
"Netherlands","South Africa","82","83","86","10","84","72","73","71","8","72","teamAWin"
"South Africa","Japan","72","73","71","8","72","80","82","78","10","81","teamBWin"
"Japan","South Africa","80","82","78","10","81","72","73","71","8","72","teamAWin"
"South Africa","Tunisia","72","73","71","8","72","72","74","78","8","74","draw"
"Tunisia","South Africa","72","74","78","8","74","72","73","71","8","72","draw"
"South Africa","Sweden","72","73","71","8","72","79","80","79","10","80","teamBWin"
"Sweden","South Africa","79","80","79","10","80","72","73","71","8","72","teamAWin"
"South Africa","Belgium","72","73","71","8","72","82","84","78","10","82","teamBWin"
"Belgium","South Africa","82","84","78","10","82","72","73","71","8","72","teamAWin"
"South Africa","Egypt","72","73","71","8","72","79","76","75","10","78","teamBWin"
"Egypt","South Africa","79","76","75","10","78","72","73","71","8","72","teamAWin"
"South Africa","Iran","72","73","71","8","72","75","76","77","8","75","draw"
"Iran","South Africa","75","76","77","8","75","72","73","71","8","72","teamAWin"
"South Africa","New Zealand","72","73","71","8","72","70","69","71","7","69","teamAWin"
"New Zealand","South Africa","70","69","71","7","69","72","73","71","8","72","draw"
"South Africa","Spain","72","73","71","8","72","86","90","84","13","90","teamBWin"
"Spain","South Africa","86","90","84","13","90","72","73","71","8","72","teamAWin"
"South Africa","Cape Verde","72","73","71","8","72","72","73","72","8","72","draw"
"Cape Verde","South Africa","72","73","72","8","72","72","73","71","8","72","draw"
"South Africa","Saudi Arabia","72","73","71","8","72","74","75","73","8","74","draw"
"Saudi Arabia","South Africa","74","75","73","8","74","72","73","71","8","72","teamAWin"
"South Africa","Uruguay","72","73","71","8","72","83","82","82","10","83","teamBWin"
"Uruguay","South Africa","83","82","82","10","83","72","73","71","8","72","teamAWin"
"South Africa","France","72","73","71","8","72","90","84","83","10","87","teamBWin"
"France","South Africa","90","84","83","10","87","72","73","71","8","72","teamAWin"
"South Africa","Senegal","72","73","71","8","72","81","79","81","10","81","teamBWin"
"Senegal","South Africa","81","79","81","10","81","72","73","71","8","72","teamAWin"
"South Africa","Norway","72","73","71","8","72","84","80","76","10","82","teamBWin"
"Norway","South Africa","84","80","76","10","82","72","73","71","8","72","teamAWin"
"South Africa","Iraq","72","73","71","8","72","72","73","72","10","74","draw"
"Iraq","South Africa","72","73","72","10","74","72","73","71","8","72","teamAWin"
"South Africa","Argentina","72","73","71","8","72","88","86","82","13","89","teamBWin"
"Argentina","South Africa","88","86","82","13","89","72","73","71","8","72","teamAWin"
"South Africa","Algeria","72","73","71","8","72","78","79","76","10","79","teamBWin"
"Algeria","South Africa","78","79","76","10","79","72","73","71","8","72","teamAWin"
"South Africa","Austria","72","73","71","8","72","79","82","79","10","81","teamBWin"
"Austria","South Africa","79","82","79","10","81","72","73","71","8","72","teamAWin"
"South Africa","Jordan","72","73","71","8","72","71","72","70","8","71","draw"
"Jordan","South Africa","71","72","70","8","71","72","73","71","8","72","teamBWin"
"South Africa","Portugal","72","73","71","8","72","87","84","80","10","85","teamBWin"
"Portugal","South Africa","87","84","80","10","85","72","73","71","8","72","teamAWin"
"South Africa","Uzbekistan","72","73","71","8","72","73","75","74","10","76","draw"
"Uzbekistan","South Africa","73","75","74","10","76","72","73","71","8","72","draw"
"South Africa","Colombia","72","73","71","8","72","82","81","78","10","82","teamBWin"
"Colombia","South Africa","82","81","78","10","82","72","73","71","8","72","teamAWin"
"South Africa","DR Congo","72","73","71","8","72","74","74","75","8","74","draw"
"DR Congo","South Africa","74","74","75","8","74","72","73","71","8","72","draw"
"South Africa","England","72","73","71","8","72","86","86","84","13","89","teamBWin"
"England","South Africa","86","86","84","13","89","72","73","71","8","72","teamAWin"
"South Africa","Croatia","72","73","71","8","72","77","84","79","8","79","teamBWin"
"Croatia","South Africa","77","84","79","8","79","72","73","71","8","72","teamAWin"
"South Africa","Ghana","72","73","71","8","72","76","75","73","7","74","teamBWin"
"Ghana","South Africa","76","75","73","7","74","72","73","71","8","72","draw"
"South Africa","Panama","72","73","71","8","72","72","73","72","10","74","teamBWin"
"Panama","South Africa","72","73","72","10","74","72","73","71","8","72","draw"
"South Korea","Czechia","79","78","76","10","79","76","78","79","8","77","teamAWin"
"Czechia","South Korea","76","78","79","8","77","79","78","76","10","79","draw"
"South Korea","Canada","79","78","76","10","79","77","73","71","10","76","draw"
"Canada","South Korea","77","73","71","10","76","79","78","76","10","79","draw"
"South Korea","Switzerland","79","78","76","10","79","77","80","82","8","79","draw"
"Switzerland","South Korea","77","80","82","8","79","79","78","76","10","79","draw"
"South Korea","Qatar","79","78","76","10","79","72","73","70","7","71","teamAWin"
"Qatar","South Korea","72","73","70","7","71","79","78","76","10","79","teamBWin"
"South Korea","Bosnia and Herzegovina","79","78","76","10","79","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","South Korea","75","77","74","8","75","79","78","76","10","79","draw"
"South Korea","Brazil","79","78","76","10","79","89","85","81","10","86","teamBWin"
"Brazil","South Korea","89","85","81","10","86","79","78","76","10","79","teamAWin"
"South Korea","Morocco","79","78","76","10","79","78","79","84","10","81","teamBWin"
"Morocco","South Korea","78","79","84","10","81","79","78","76","10","79","draw"
"South Korea","Haiti","79","78","76","10","79","70","69","68","7","69","teamAWin"
"Haiti","South Korea","70","69","68","7","69","79","78","76","10","79","teamBWin"
"South Korea","Scotland","79","78","76","10","79","75","78","77","8","76","teamAWin"
"Scotland","South Korea","75","78","77","8","76","79","78","76","10","79","teamBWin"
"South Korea","USA","79","78","76","10","79","76","74","72","10","76","teamAWin"
"USA","South Korea","76","74","72","10","76","79","78","76","10","79","teamBWin"
"South Korea","Paraguay","79","78","76","10","79","74","75","77","8","75","draw"
"Paraguay","South Korea","74","75","77","8","75","79","78","76","10","79","teamBWin"
"South Korea","Australia","79","78","76","10","79","76","75","76","10","77","draw"
"Australia","South Korea","76","75","76","10","77","79","78","76","10","79","teamBWin"
"South Korea","Türkiye","79","78","76","10","79","80","79","75","10","80","draw"
"Türkiye","South Korea","80","79","75","10","80","79","78","76","10","79","draw"
"South Korea","Germany","79","78","76","10","79","84","85","80","8","82","draw"
"Germany","South Korea","84","85","80","8","82","79","78","76","10","79","teamAWin"
"South Korea","Curacao","79","78","76","10","79","70","70","69","8","70","teamAWin"
"Curacao","South Korea","70","70","69","8","70","79","78","76","10","79","teamBWin"
"South Korea","Ivory Coast","79","78","76","10","79","80","78","77","10","80","draw"
"Ivory Coast","South Korea","80","78","77","10","80","79","78","76","10","79","draw"
"South Korea","Ecuador","79","78","76","10","79","78","79","80","8","78","draw"
"Ecuador","South Korea","78","79","80","8","78","79","78","76","10","79","draw"
"South Korea","Netherlands","79","78","76","10","79","82","83","86","10","84","teamBWin"
"Netherlands","South Korea","82","83","86","10","84","79","78","76","10","79","teamAWin"
"South Korea","Japan","79","78","76","10","79","80","82","78","10","81","draw"
"Japan","South Korea","80","82","78","10","81","79","78","76","10","79","draw"
"South Korea","Tunisia","79","78","76","10","79","72","74","78","8","74","teamAWin"
"Tunisia","South Korea","72","74","78","8","74","79","78","76","10","79","teamBWin"
"South Korea","Sweden","79","78","76","10","79","79","80","79","10","80","draw"
"Sweden","South Korea","79","80","79","10","80","79","78","76","10","79","draw"
"South Korea","Belgium","79","78","76","10","79","82","84","78","10","82","teamBWin"
"Belgium","South Korea","82","84","78","10","82","79","78","76","10","79","teamAWin"
"South Korea","Egypt","79","78","76","10","79","79","76","75","10","78","draw"
"Egypt","South Korea","79","76","75","10","78","79","78","76","10","79","draw"
"South Korea","Iran","79","78","76","10","79","75","76","77","8","75","teamAWin"
"Iran","South Korea","75","76","77","8","75","79","78","76","10","79","draw"
"South Korea","New Zealand","79","78","76","10","79","70","69","71","7","69","teamAWin"
"New Zealand","South Korea","70","69","71","7","69","79","78","76","10","79","teamBWin"
"South Korea","Spain","79","78","76","10","79","86","90","84","13","90","teamBWin"
"Spain","South Korea","86","90","84","13","90","79","78","76","10","79","teamAWin"
"South Korea","Cape Verde","79","78","76","10","79","72","73","72","8","72","teamAWin"
"Cape Verde","South Korea","72","73","72","8","72","79","78","76","10","79","teamBWin"
"South Korea","Saudi Arabia","79","78","76","10","79","74","75","73","8","74","teamAWin"
"Saudi Arabia","South Korea","74","75","73","8","74","79","78","76","10","79","draw"
"South Korea","Uruguay","79","78","76","10","79","83","82","82","10","83","draw"
"Uruguay","South Korea","83","82","82","10","83","79","78","76","10","79","teamAWin"
"South Korea","France","79","78","76","10","79","90","84","83","10","87","teamBWin"
"France","South Korea","90","84","83","10","87","79","78","76","10","79","teamAWin"
"South Korea","Senegal","79","78","76","10","79","81","79","81","10","81","teamBWin"
"Senegal","South Korea","81","79","81","10","81","79","78","76","10","79","teamAWin"
"South Korea","Norway","79","78","76","10","79","84","80","76","10","82","draw"
"Norway","South Korea","84","80","76","10","82","79","78","76","10","79","draw"
"South Korea","Iraq","79","78","76","10","79","72","73","72","10","74","teamAWin"
"Iraq","South Korea","72","73","72","10","74","79","78","76","10","79","teamBWin"
"South Korea","Argentina","79","78","76","10","79","88","86","82","13","89","teamBWin"
"Argentina","South Korea","88","86","82","13","89","79","78","76","10","79","teamAWin"
"South Korea","Algeria","79","78","76","10","79","78","79","76","10","79","draw"
"Algeria","South Korea","78","79","76","10","79","79","78","76","10","79","draw"
"South Korea","Austria","79","78","76","10","79","79","82","79","10","81","draw"
"Austria","South Korea","79","82","79","10","81","79","78","76","10","79","draw"
"South Korea","Jordan","79","78","76","10","79","71","72","70","8","71","teamAWin"
"Jordan","South Korea","71","72","70","8","71","79","78","76","10","79","teamBWin"
"South Korea","Portugal","79","78","76","10","79","87","84","80","10","85","teamBWin"
"Portugal","South Korea","87","84","80","10","85","79","78","76","10","79","teamAWin"
"South Korea","Uzbekistan","79","78","76","10","79","73","75","74","10","76","teamAWin"
"Uzbekistan","South Korea","73","75","74","10","76","79","78","76","10","79","teamBWin"
"South Korea","Colombia","79","78","76","10","79","82","81","78","10","82","teamBWin"
"Colombia","South Korea","82","81","78","10","82","79","78","76","10","79","draw"
"South Korea","DR Congo","79","78","76","10","79","74","74","75","8","74","teamAWin"
"DR Congo","South Korea","74","74","75","8","74","79","78","76","10","79","teamBWin"
"South Korea","England","79","78","76","10","79","86","86","84","13","89","teamBWin"
"England","South Korea","86","86","84","13","89","79","78","76","10","79","teamAWin"
"South Korea","Croatia","79","78","76","10","79","77","84","79","8","79","draw"
"Croatia","South Korea","77","84","79","8","79","79","78","76","10","79","draw"
"South Korea","Ghana","79","78","76","10","79","76","75","73","7","74","draw"
"Ghana","South Korea","76","75","73","7","74","79","78","76","10","79","teamBWin"
"South Korea","Panama","79","78","76","10","79","72","73","72","10","74","teamAWin"
"Panama","South Korea","72","73","72","10","74","79","78","76","10","79","teamBWin"
"Czechia","Canada","76","78","79","8","77","77","73","71","10","76","draw"
"Canada","Czechia","77","73","71","10","76","76","78","79","8","77","teamBWin"
"Czechia","Switzerland","76","78","79","8","77","77","80","82","8","79","teamBWin"
"Switzerland","Czechia","77","80","82","8","79","76","78","79","8","77","draw"
"Czechia","Qatar","76","78","79","8","77","72","73","70","7","71","teamAWin"
"Qatar","Czechia","72","73","70","7","71","76","78","79","8","77","teamBWin"
"Czechia","Bosnia and Herzegovina","76","78","79","8","77","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Czechia","75","77","74","8","75","76","78","79","8","77","teamBWin"
"Czechia","Brazil","76","78","79","8","77","89","85","81","10","86","teamBWin"
"Brazil","Czechia","89","85","81","10","86","76","78","79","8","77","teamAWin"
"Czechia","Morocco","76","78","79","8","77","78","79","84","10","81","teamBWin"
"Morocco","Czechia","78","79","84","10","81","76","78","79","8","77","draw"
"Czechia","Haiti","76","78","79","8","77","70","69","68","7","69","teamAWin"
"Haiti","Czechia","70","69","68","7","69","76","78","79","8","77","teamBWin"
"Czechia","Scotland","76","78","79","8","77","75","78","77","8","76","draw"
"Scotland","Czechia","75","78","77","8","76","76","78","79","8","77","draw"
"Czechia","USA","76","78","79","8","77","76","74","72","10","76","teamAWin"
"USA","Czechia","76","74","72","10","76","76","78","79","8","77","draw"
"Czechia","Paraguay","76","78","79","8","77","74","75","77","8","75","draw"
"Paraguay","Czechia","74","75","77","8","75","76","78","79","8","77","teamBWin"
"Czechia","Australia","76","78","79","8","77","76","75","76","10","77","draw"
"Australia","Czechia","76","75","76","10","77","76","78","79","8","77","draw"
"Czechia","Türkiye","76","78","79","8","77","80","79","75","10","80","draw"
"Türkiye","Czechia","80","79","75","10","80","76","78","79","8","77","draw"
"Czechia","Germany","76","78","79","8","77","84","85","80","8","82","teamBWin"
"Germany","Czechia","84","85","80","8","82","76","78","79","8","77","teamAWin"
"Czechia","Curacao","76","78","79","8","77","70","70","69","8","70","teamAWin"
"Curacao","Czechia","70","70","69","8","70","76","78","79","8","77","teamBWin"
"Czechia","Ivory Coast","76","78","79","8","77","80","78","77","10","80","teamBWin"
"Ivory Coast","Czechia","80","78","77","10","80","76","78","79","8","77","draw"
"Czechia","Ecuador","76","78","79","8","77","78","79","80","8","78","draw"
"Ecuador","Czechia","78","79","80","8","78","76","78","79","8","77","draw"
"Czechia","Netherlands","76","78","79","8","77","82","83","86","10","84","teamBWin"
"Netherlands","Czechia","82","83","86","10","84","76","78","79","8","77","teamAWin"
"Czechia","Japan","76","78","79","8","77","80","82","78","10","81","draw"
"Japan","Czechia","80","82","78","10","81","76","78","79","8","77","teamAWin"
"Czechia","Tunisia","76","78","79","8","77","72","74","78","8","74","draw"
"Tunisia","Czechia","72","74","78","8","74","76","78","79","8","77","draw"
"Czechia","Sweden","76","78","79","8","77","79","80","79","10","80","teamBWin"
"Sweden","Czechia","79","80","79","10","80","76","78","79","8","77","teamAWin"
"Czechia","Belgium","76","78","79","8","77","82","84","78","10","82","teamBWin"
"Belgium","Czechia","82","84","78","10","82","76","78","79","8","77","teamAWin"
"Czechia","Egypt","76","78","79","8","77","79","76","75","10","78","draw"
"Egypt","Czechia","79","76","75","10","78","76","78","79","8","77","draw"
"Czechia","Iran","76","78","79","8","77","75","76","77","8","75","teamAWin"
"Iran","Czechia","75","76","77","8","75","76","78","79","8","77","draw"
"Czechia","New Zealand","76","78","79","8","77","70","69","71","7","69","teamAWin"
"New Zealand","Czechia","70","69","71","7","69","76","78","79","8","77","teamBWin"
"Czechia","Spain","76","78","79","8","77","86","90","84","13","90","teamBWin"
"Spain","Czechia","86","90","84","13","90","76","78","79","8","77","teamAWin"
"Czechia","Cape Verde","76","78","79","8","77","72","73","72","8","72","teamAWin"
"Cape Verde","Czechia","72","73","72","8","72","76","78","79","8","77","teamBWin"
"Czechia","Saudi Arabia","76","78","79","8","77","74","75","73","8","74","teamAWin"
"Saudi Arabia","Czechia","74","75","73","8","74","76","78","79","8","77","teamBWin"
"Czechia","Uruguay","76","78","79","8","77","83","82","82","10","83","teamBWin"
"Uruguay","Czechia","83","82","82","10","83","76","78","79","8","77","teamAWin"
"Czechia","France","76","78","79","8","77","90","84","83","10","87","teamBWin"
"France","Czechia","90","84","83","10","87","76","78","79","8","77","teamAWin"
"Czechia","Senegal","76","78","79","8","77","81","79","81","10","81","teamBWin"
"Senegal","Czechia","81","79","81","10","81","76","78","79","8","77","draw"
"Czechia","Norway","76","78","79","8","77","84","80","76","10","82","teamBWin"
"Norway","Czechia","84","80","76","10","82","76","78","79","8","77","draw"
"Czechia","Iraq","76","78","79","8","77","72","73","72","10","74","teamAWin"
"Iraq","Czechia","72","73","72","10","74","76","78","79","8","77","teamBWin"
"Czechia","Argentina","76","78","79","8","77","88","86","82","13","89","teamBWin"
"Argentina","Czechia","88","86","82","13","89","76","78","79","8","77","teamAWin"
"Czechia","Algeria","76","78","79","8","77","78","79","76","10","79","teamBWin"
"Algeria","Czechia","78","79","76","10","79","76","78","79","8","77","draw"
"Czechia","Austria","76","78","79","8","77","79","82","79","10","81","teamBWin"
"Austria","Czechia","79","82","79","10","81","76","78","79","8","77","draw"
"Czechia","Jordan","76","78","79","8","77","71","72","70","8","71","teamAWin"
"Jordan","Czechia","71","72","70","8","71","76","78","79","8","77","teamBWin"
"Czechia","Portugal","76","78","79","8","77","87","84","80","10","85","teamBWin"
"Portugal","Czechia","87","84","80","10","85","76","78","79","8","77","teamAWin"
"Czechia","Uzbekistan","76","78","79","8","77","73","75","74","10","76","draw"
"Uzbekistan","Czechia","73","75","74","10","76","76","78","79","8","77","draw"
"Czechia","Colombia","76","78","79","8","77","82","81","78","10","82","teamBWin"
"Colombia","Czechia","82","81","78","10","82","76","78","79","8","77","teamAWin"
"Czechia","DR Congo","76","78","79","8","77","74","74","75","8","74","draw"
"DR Congo","Czechia","74","74","75","8","74","76","78","79","8","77","draw"
"Czechia","England","76","78","79","8","77","86","86","84","13","89","teamBWin"
"England","Czechia","86","86","84","13","89","76","78","79","8","77","teamAWin"
"Czechia","Croatia","76","78","79","8","77","77","84","79","8","79","draw"
"Croatia","Czechia","77","84","79","8","79","76","78","79","8","77","draw"
"Czechia","Ghana","76","78","79","8","77","76","75","73","7","74","draw"
"Ghana","Czechia","76","75","73","7","74","76","78","79","8","77","draw"
"Czechia","Panama","76","78","79","8","77","72","73","72","10","74","draw"
"Panama","Czechia","72","73","72","10","74","76","78","79","8","77","draw"
"Canada","Switzerland","77","73","71","10","76","77","80","82","8","79","teamBWin"
"Switzerland","Canada","77","80","82","8","79","77","73","71","10","76","draw"
"Canada","Qatar","77","73","71","10","76","72","73","70","7","71","teamAWin"
"Qatar","Canada","72","73","70","7","71","77","73","71","10","76","teamBWin"
"Canada","Bosnia and Herzegovina","77","73","71","10","76","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Canada","75","77","74","8","75","77","73","71","10","76","draw"
"Canada","Brazil","77","73","71","10","76","89","85","81","10","86","teamBWin"
